lu_code,lu_desc,nhm_cov_type,srain_intcp,wrain_intcp,snow_intcp,nhm_covden_win,evergreen_retention
0,NoData,0,0.0,0.0,0.0,0.0,0.0
1,Hay_Alfalfa,1,0.02,0.02,0.00,0.8,0.0
2,Corn,1,0.02,0.02,0.00,0.8,0.0
3,Soybeans,1,0.02,0.02,0.00,0.8,0.0
4,Fallow_Idle,0,0.00,0.00,0.00,0.0,0.0
5,Wheat,1,0.02,0.02,0.00,0.8,0.0
6,Fruits_Vegetables,1,0.02,0.02,0.00,0.8,0.0
7,Tobacco,1,0.02,0.02,0.00,0.8,0.0
8,Other_Crops,1,0.02,0.02,0.00,0.8,0.0
9,OpenWater,0,0.0,0.0,0.0,0.0,0.0
10,Developed_Low_Intensity,1,0.02,0.02,0.00,0.8,0.0
11,Developed_MedHigh_Intensity,0,0.00,0.00,0.00,0.0,0.0
12,Barren,0,0.0,0.0,0.0,0.0,0.0
13,Deciduous_Forest,3,0.05,0.02,0.02,0.6,0.0
14,Evergreen_Forest,3,0.05,0.05,0.10,1.0,1.0
15,Mixed_Forest,3,0.05,0.03,0.07,0.8,0.5
16,Shrubland,2,0.05,0.05,0.02,0.7,0.3
17,Grassland_Pasture,1,0.02,0.02,0.00,0.8,0.0
18,Woody_Wetlands,3,0.05,0.03,0.07,0.8,0.3
19,Herbaceous_Wetlands,2,0.05,0.05,0.02,0.7,0.0
20,Perennial_Grasses,1,0.02,0.02,0.00,0.8,0.0
